NumberRangeMapID,NumberRange,NumberRangeClassification,NumberRangeBespokeFlag,NumberRangeType,NumberRangeSource,NumberRangeStartDate,NumberRangeEndDate
513165,2341911,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513166,2341912,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513167,2341913,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513168,2341914,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513169,2341915,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513170,2341916,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513171,2341917,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513172,2341918,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513173,2341919,NIGERIA.LAGOS,0,GCI_INTL,5,2016-08-01,NULL
513174,2342480,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513175,2342481,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513176,2342482,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513177,2342750,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513178,2342751,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513179,2342752,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513180,2342753,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513181,2342754,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513182,2342755,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513183,2342903,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513184,2342904,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513185,2342905,NIGERIA.GLOBACOM,0,GCI_INTL,5,2016-08-01,NULL
513186,2343048,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513187,2343129,NIGERIA.VISAFONE,0,GCI_INTL,5,2016-08-01,NULL
513188,2343174,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513189,2343175,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513190,2343177,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513191,2343448,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513192,2343548,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513193,2343573,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513194,2343648,NIGERIA.OTHER.MOBILE,0,GCI_INTL_Mobile,5,2016-08-01,NULL
513195,2343673,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
513196,2343674,NIGERIA.MULTILINKS,0,GCI_INTL,5,2016-08-01,NULL
